,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2020,MI,FT,Lead Data Scientist,115000,USD,115000,AE,0,AE,L
1,2022,SE,FT,Machine Learning Engineer,120000,USD,120000,AE,100,AE,S
2,2022,SE,FT,Machine Learning Engineer,65000,USD,65000,AE,100,AE,S
3,2022,SE,FT,Data Science Engineer,60000,USD,60000,AR,100,MX,L
4,2020,MI,FT,Data Engineer,65000,EUR,,AT,50,AT,L
5,2020,SE,FT,Data Scientist,80000,EUR,,AT,0,AT,S
6,2022,MI,FT,Research Scientist,59000,EUR,,AT,0,AT,L
7,2022,MI,FT,Machine Learning Engineer,121000,AUD,,AU,100,AU,L
8,2022,EN,FT,Data Scientist,120000,AUD,,AU,50,AU,M
9,2022,EN,FT,Computer Vision Software Engineer,150000,USD,150000,AU,100,AU,S
10,2021,SE,FT,Machine Learning Engineer,70000,EUR,,BE,50,BE,M
11,2021,MI,FT,Machine Learning Engineer,75000,EUR,,BE,100,BE,M
12,2021,SE,FT,Data Analyst,80000,USD,80000,BG,100,US,S
13,2022,MI,FT,Applied Machine Learning Scientist,75000,USD,75000,BO,100,US,L
14,2021,EN,PT,AI Scientist,12000,USD,12000,BR,100,US,S
15,2021,SE,FT,Computer Vision Engineer,24000,USD,24000,BR,100,BR,M
16,2021,SE,FT,Cloud Data Engineer,160000,USD,160000,BR,100,US,S
17,2021,MI,FT,Data Scientist,69600,BRL,,BR,0,BR,S
18,2021,SE,FT,Computer Vision Engineer,102000,BRL,,BR,0,BR,M
19,2022,SE,FT,Data Scientist,100000,USD,100000,BR,100,US,M
20,2020,SE,FT,Machine Learning Manager,157000,CAD,,CA,50,CA,L
21,2021,MI,FT,Research Scientist,235000,CAD,,CA,100,CA,L
22,2021,MI,FT,Data Scientist,95000,CAD,,CA,100,CA,L
23,2021,SE,FT,Data Science Engineer,159500,CAD,,CA,50,CA,L
24,2021,SE,FT,Research Scientist,120500,CAD,,CA,50,CA,L
25,2021,SE,FT,Data Scientist,110000,CAD,,CA,100,CA,S
26,2021,SE,FT,Data Analyst,90000,CAD,,CA,100,CA,M
27,2021,MI,FT,Research Scientist,80000,CAD,,CA,100,CA,M
28,2021,SE,FT,Data Scientist,130000,CAD,,CA,100,CA,L
